HGNC,Gene,Disease,MONDO,GCEP,CDWG
HGNC:23336,A2ML1,Noonan syndrome,MONDO:0018997,RASopathy,RASopathy
HGNC:23336,CPAMD9,Noonan syndrome,MONDO:0018997,RASopathy,RASopathy
HGNC:23336,FLJ25179,Noonan syndrome,MONDO:0018997,RASopathy,RASopathy
HGNC:23336,P170,Noonan syndrome,MONDO:0018997,RASopathy,RASopathy
HGNC:18149,A4GALT,A4GALT-congenital disorder of glycosylation,MONDO:0100587,Congenital Disorders of Glycosylation,Inborn Errors of Metabolism
HGNC:18149,A14GALT,A4GALT-congenital disorder of glycosylation,MONDO:0100587,Congenital Disorders of Glycosylation,Inborn Errors of Metabolism
HGNC:18149,GB3S,A4GALT-congenital disorder of glycosylation,MONDO:0100587,Congenital Disorders of Glycosylation,Inborn Errors of Metabolism
HGNC:18149,P(K),A4GALT-congenital disorder of glycosylation,MONDO:0100587,Congenital Disorders of Glycosylation,Inborn Errors of Metabolism
HGNC:18149,P1,A4GALT-congenital disorder of glycosylation,MONDO:0100587,Congenital Disorders of Glycosylation,Inborn Errors of Metabolism
HGNC:20,AARS1,Charcot-Marie-Tooth disease axonal type 2N,MONDO:0013212,Charcot-Marie-Tooth Disease,Neurological Disorders
HGNC:20,AARS,Charcot-Marie-Tooth disease axonal type 2N,MONDO:0013212,Charcot-Marie-Tooth Disease,Neurological Disorders
HGNC:20,ALARS,Charcot-Marie-Tooth disease axonal type 2N,MONDO:0013212,Charcot-Marie-Tooth Disease,Neurological Disorders
HGNC:20,CMT2N,Charcot-Marie-Tooth disease axonal type 2N,MONDO:0013212,Charcot-Marie-Tooth Disease,Neurological Disorders
HGNC:20,AARS1,AARS1-related leukoencephalopathy,MONDO:1010132,Leukodystrophy and Leukoencephalopathy,Neurodevelopmental Disorders
HGNC:20,AARS,AARS1-related leukoencephalopathy,MONDO:1010132,Leukodystrophy and Leukoencephalopathy,Neurodevelopmental Disorders
HGNC:20,ALARS,AARS1-related leukoencephalopathy,MONDO:1010132,Leukodystrophy and Leukoencephalopathy,Neurodevelopmental Disorders
HGNC:20,CMT2N,AARS1-related leukoencephalopathy,MONDO:1010132,Leukodystrophy and Leukoencephalopathy,Neurodevelopmental Disorders
HGNC:21022,AARS2,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:21022,AARSL,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:21022,BA444E17.1,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:21022,KIAA1270,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:17366,AASS,hyperlysinemia,MONDO:0009388,Aminoacidopathy,Inborn Errors of Metabolism
HGNC:17366,LKR/SDH,hyperlysinemia,MONDO:0009388,Aminoacidopathy,Inborn Errors of Metabolism
HGNC:17366,LKRSDH,hyperlysinemia,MONDO:0009388,Aminoacidopathy,Inborn Errors of Metabolism
HGNC:17366,LORSDH,hyperlysinemia,MONDO:0009388,Aminoacidopathy,Inborn Errors of Metabolism
HGNC:23,ABAT,developmental and epileptic encephalopathy,MONDO:0100062,Epilepsy,Neurodevelopmental Disorders
HGNC:23,GABA-T,developmental and epileptic encephalopathy,MONDO:0100062,Epilepsy,Neurodevelopmental Disorders
HGNC:23,GABAT,developmental and epileptic encephalopathy,MONDO:0100062,Epilepsy,Neurodevelopmental Disorders
HGNC:33,ABCA3,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Interstitial Lung Disease,Pulmonary
HGNC:33,ABC-C,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Interstitial Lung Disease,Pulmonary
HGNC:33,ABC3,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Interstitial Lung Disease,Pulmonary
HGNC:33,EST111653,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Interstitial Lung Disease,Pulmonary
HGNC:33,LBM180,interstitial lung disease due to ABCA3 deficiency,MONDO:0012582,Interstitial Lung Disease,Pulmonary
HGNC:34,ABCA4,ABCA4-related retinopathy,MONDO:0800406,Retina,Ocular
HGNC:34,ABCR,ABCA4-related retinopathy,MONDO:0800406,Retina,Ocular
HGNC:34,ARMD2,ABCA4-related retinopathy,MONDO:0800406,Retina,Ocular
HGNC:34,CORD3,ABCA4-related retinopathy,MONDO:0800406,Retina,Ocular
HGNC:34,FFM,ABCA4-related retinopathy,MONDO:0800406,Retina,Ocular
HGNC:34,RP19,ABCA4-related retinopathy,MONDO:0800406,Retina,Ocular
HGNC:34,STGD,ABCA4-related retinopathy,MONDO:0800406,Retina,Ocular
HGNC:34,STGD1,ABCA4-related retinopathy,MONDO:0800406,Retina,Ocular
HGNC:34,ABCA4,age related macular degeneration 2,MONDO:0007932,Retina,Ocular
HGNC:34,ABCR,age related macular degeneration 2,MONDO:0007932,Retina,Ocular
HGNC:34,ARMD2,age related macular degeneration 2,MONDO:0007932,Retina,Ocular
HGNC:34,CORD3,age related macular degeneration 2,MONDO:0007932,Retina,Ocular
HGNC:34,FFM,age related macular degeneration 2,MONDO:0007932,Retina,Ocular
HGNC:34,RP19,age related macular degeneration 2,MONDO:0007932,Retina,Ocular
HGNC:34,STGD,age related macular degeneration 2,MONDO:0007932,Retina,Ocular
HGNC:34,STGD1,age related macular degeneration 2,MONDO:0007932,Retina,Ocular
HGNC:45,ABCB4,progressive familial intrahepatic cholestasis type 3,MONDO:0011214,General,Other
HGNC:45,GBD1,progressive familial intrahepatic cholestasis type 3,MONDO:0011214,General,Other
HGNC:45,MDR2,progressive familial intrahepatic cholestasis type 3,MONDO:0011214,General,Other
HGNC:45,MDR3,progressive familial intrahepatic cholestasis type 3,MONDO:0011214,General,Other
HGNC:45,PFIC-3,progressive familial intrahepatic cholestasis type 3,MONDO:0011214,General,Other
HGNC:45,PGY3,progressive familial intrahepatic cholestasis type 3,MONDO:0011214,General,Other
HGNC:47,ABCB6,"microphthalmia, isolated, with coloboma 7",MONDO:0013783,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:47,EST45597,"microphthalmia, isolated, with coloboma 7",MONDO:0013783,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
HGNC:47,MTABC3,"microphthalmia, isolated, with coloboma 7",MONDO:0013783,General Inborn Errors of Metabolism,Inborn Errors of Metabolism
