Gene,Disease,MONDO,GCEP
ANAPC1,Rothmund-Thomson syndrome type 1,MONDO:0016368,Syndromic Disorders
HMBS,acute intermittent porphyria,MONDO:0008294,General Inborn Errors of Metabolism
SMARCB1,rhabdoid tumor predisposition syndrome 1,MONDO:0012252,Hereditary Cancer
SMARCB1,Coffin-Siris syndrome,MONDO:0015452,Intellectual Disability and Autism
TEK,TEK-related primary glaucoma,MONDO:0800182,Glaucoma and Neuro-Ophthalmology
MED12,MED12-related intellectual disability syndrome,MONDO:0100000,Intellectual Disability and Autism
MTM1,X-linked myotubular myopathy,MONDO:0010683,Congenital Myopathies
ALS2,ALS2-related motor neuron disease,MONDO:0100227,Amyotrophic Lateral Sclerosis Spectrum Disorders
PTS,BH4-deficient hyperphenylalaninemia A,MONDO:0009863,Aminoacidopathy
GLB1,mucopolysaccharidosis type 4B,MONDO:0009660,Lysosomal Diseases GCEP
GLB1,GM1 gangliosidosis,MONDO:0018149,Lysosomal Diseases GCEP
TINF2,"dyskeratosis congenita, autosomal dominant 3",MONDO:0013522,Interstitial Lung Disease
NR2F1,Bosch-Boonstra-Schaaf optic atrophy syndrome,MONDO:0014320,Intellectual Disability and Autism
MKS1,ciliopathy,MONDO:0005308,Retina
NDUFC2,Leigh syndrome,MONDO:0009723,Mitochondrial Diseases
NDUFC2,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases
POC1B,cone-rod dystrophy 20,MONDO:0014427,Retina
FOXD3,aniridia,MONDO:0019172,Glaucoma and Neuro-Ophthalmology
CHRNA2,sleep-related hypermotor epilepsy,MONDO:0000030,Epilepsy
CHRNA2,benign familial infantile epilepsy,MONDO:0017615,Epilepsy
JPH2,hypertrophic cardiomyopathy,MONDO:0005045,Hereditary Cardiovascular Disease
JPH2,dilated cardiomyopathy,MONDO:0005021,Dilated Cardiomyopathy
POR,Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis,MONDO:0008726,Craniofacial Malformations
SDHB,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases
SDHB,hereditary pheochromocytoma-paraganglioma,MONDO:0017366,Hereditary Cancer
PLA2G4A,cytosolic phospholipase-A2 alpha deficiency associated bleeding disorder,MONDO:0018794,Hemostasis Thrombosis
ADNP,ADNP-related multiple congenital anomalies - intellectual disability - autism spectrum disorder,MONDO:0014379,Intellectual Disability and Autism
PPM1K,"maple syrup urine disease, mild variant",MONDO:0014057,Aminoacidopathy
ACSF3,combined malonic and methylmalonic acidemia,MONDO:0013661,Aminoacidopathy
CEACAM16,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss
KCNJ16,"hypokalemic alkalosis, familial, with specific renal tubulopathy",MONDO:0009423,Tubulopathy
TRDN,catecholaminergic polymorphic ventricular tachycardia,MONDO:0017990,Catecholaminergic Polymorphic Ventricular Tachycardia
TRDN,long QT syndrome,MONDO:0002442,Long QT Syndrome
SEMA4A,Lynch syndrome,MONDO:0005835,Hereditary Cancer
SERPINF2,alpha-2-plasmin inhibitor deficiency,MONDO:0009883,Hemostasis Thrombosis
DEPDC5,focal epilepsy,MONDO:0005384,Epilepsy
AMER1,osteopathia striata with cranial sclerosis,MONDO:0010310,Prenatal
KDM5B,intellectual disability,MONDO:0001071,Intellectual Disability and Autism
DPP6,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism
HNRNPA2B1,inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia 2,MONDO:0014178,Amyotrophic Lateral Sclerosis Spectrum Disorders
SETD5,syndromic complex neurodevelopmental disorder,MONDO:0800439,Intellectual Disability and Autism
COX10,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases
COX10,Leigh syndrome,MONDO:0009723,Mitochondrial Diseases
PYCR1,autosomal recessive cutis laxa type 2B,MONDO:0013051,Aminoacidopathy
ABCC4,qualitative platelet defect,MONDO:0001197,Hemostasis Thrombosis
