hpo_term,hpo_parent
HP:0010978,HP:0002715
HP:0100326,HP:0010978
HP:0000118,HP:0000001
HP:0002715,HP:0000118
HP:0000234,HP:0000152
HP:0001999,HP:0000271
HP:0000271,HP:0000234
HP:0000152,HP:0000118
HP:0000366,HP:0000271
HP:0011119,HP:0010938
HP:0005105,HP:0000366
HP:0010938,HP:0005105
HP:0001574,HP:0000118
HP:0025031,HP:0000118
HP:0004297,HP:0001392
HP:0001005,HP:0011354
HP:0001392,HP:0002012
HP:0011121,HP:0000951
HP:0001396,HP:0004297
HP:0000951,HP:0001574
HP:0011354,HP:0011121
HP:0002012,HP:0025031
HP:0000153,HP:0000271
HP:0000163,HP:0031816
HP:0031816,HP:0000153
HP:0030809,HP:0000163
HP:0030809,HP:0000157
HP:0000157,HP:0000153
HP:0011368,HP:0001072
HP:0001072,HP:0011121
HP:0001000,HP:0011121
HP:0002597,HP:0001626
HP:0025323,HP:0030163
HP:0011025,HP:0001626
HP:0030163,HP:0011025
HP:0030163,HP:0002597
HP:0033401,HP:0025323
HP:0001626,HP:0000118
HP:0003111,HP:0032180
HP:0004363,HP:0010927
HP:0010927,HP:0010929
HP:0010929,HP:0003111
HP:0001939,HP:0000118
HP:0032180,HP:0001939
HP:0430135,HP:0012379
HP:0012379,HP:0034684
HP:0034684,HP:0001939
HP:0032101,HP:0010978
HP:0430150,HP:0430030
HP:0020071,HP:0031863
HP:0032169,HP:0032101
HP:0031691,HP:0032169
HP:0031692,HP:0031691
HP:0430030,HP:0001939
HP:0031863,HP:0430150
HP:0032248,HP:0032169
HP:0032248,HP:0020071
HP:0002086,HP:0000118
HP:0002795,HP:0002086
HP:0012252,HP:0002795
HP:0009121,HP:0011842
HP:0011842,HP:0000924
HP:0033127,HP:0000118
HP:0008428,HP:0003312
HP:0003468,HP:0000925
HP:0003312,HP:0003468
HP:0000924,HP:0033127
HP:0000925,HP:0009121
HP:0040064,HP:0000118
HP:0002817,HP:0040064
HP:0011297,HP:0002813
HP:0001155,HP:0002817
HP:0040068,HP:0040064
HP:0040068,HP:0000924
HP:0011844,HP:0011842
HP:0001167,HP:0011297
HP:0001167,HP:0001155
HP:0002813,HP:0040068
HP:0002813,HP:0011844
HP:0005918,HP:0001167
HP:0011873,HP:0011875
HP:0011875,HP:0001872
HP:0001871,HP:0000118
HP:0001872,HP:0001871
HP:0012740,HP:0008069
HP:0008069,HP:0011793
HP:0008069,HP:0000951
HP:0002664,HP:0000118
HP:0011793,HP:0002664
HP:0011991,HP:0001874
HP:0011991,HP:0032309
HP:0010987,HP:0032251
HP:0001874,HP:0001911
HP:0011893,HP:0001881
HP:0001911,HP:0010974
HP:0032309,HP:0011893
HP:0032309,HP:0001911
HP:0001881,HP:0010987
HP:0001881,HP:0001871
HP:0032251,HP:0002715
HP:0010974,HP:0001881
HP:0000164,HP:0000163
HP:0009804,HP:0006483
HP:0006483,HP:0000164
HP:0000929,HP:0009121
HP:0000929,HP:0000234
HP:0000290,HP:0000271
HP:0430000,HP:0002683
HP:0011218,HP:0430000
HP:0002683,HP:0000929
HP:0030057,HP:0002960
HP:0002960,HP:0010978
HP:0000707,HP:0000118
HP:0012229,HP:0002921
HP:0002921,HP:0002011
HP:0002011,HP:0012639
HP:0012639,HP:0000707
HP:0002843,HP:0004332
HP:0025540,HP:0011839
HP:0004332,HP:0001881
HP:0500269,HP:0025540
HP:0040088,HP:0004332
HP:0040088,HP:0011893
HP:0011839,HP:0040088
HP:0011839,HP:0002843
HP:0011111,HP:0010978
HP:0011112,HP:0011111
HP:0011117,HP:0011112
HP:6000441,HP:0011117
HP:0002088,HP:0012252
HP:0011947,HP:0002088
HP:0032039,HP:0000315
HP:0032040,HP:0032039
HP:0031879,HP:0032040
HP:0012179,HP:0004373
HP:0001332,HP:0100022
HP:0004373,HP:0001332
HP:0100022,HP:0012638
HP:0000315,HP:0000271
HP:0012638,HP:0000707
HP:0033796,HP:0010978
HP:0033796,HP:0001871
HP:0011017,HP:0025354
HP:0011017,HP:0001939
HP:0025354,HP:0000118
HP:0031409,HP:0011017
HP:0031409,HP:0033796
HP:0005368,HP:0010978
HP:0005372,HP:0031409
HP:0034784,HP:0002633
HP:0033353,HP:0025015
HP:0002633,HP:0033353
HP:0011276,HP:0011354
HP:0011276,HP:0002597
HP:0025015,HP:0030680
HP:0025015,HP:0002597
HP:0030680,HP:0001626
HP:0012759,HP:0012638
HP:0012758,HP:0012759
HP:0000777,HP:0000818
HP:0000777,HP:0100763
HP:0000818,HP:0000118
HP:0010515,HP:0000777
HP:0100763,HP:0002715
HP:0100763,HP:0002597
HP:0009124,HP:0003549
HP:0012647,HP:0010978
HP:0012649,HP:0012647
HP:0003549,HP:0033127
HP:0410241,HP:0010701
HP:0010701,HP:0005368
HP:0010701,HP:0005372
HP:0010702,HP:0010701
HP:0030498,HP:0001103
HP:0004329,HP:0012372
HP:0001098,HP:0004329
HP:0000969,HP:0011032
HP:0001103,HP:0000479
HP:0012337,HP:0001939
HP:0012372,HP:0000478
HP:0011032,HP:0012337
HP:0000478,HP:0000118
HP:0000479,HP:0001098
HP:0011124,HP:0011121
HP:0040189,HP:0011124
HP:0004311,HP:0010974
HP:0002087,HP:0012252
HP:0011821,HP:0000929
HP:0000245,HP:0011821
HP:0000245,HP:0002087
HP:0000246,HP:0012649
HP:0000246,HP:0000245
HP:0012373,HP:0000478
HP:0000492,HP:0030669
HP:0030669,HP:0032039
HP:0006530,HP:0002088
HP:0034434,HP:0011446
HP:0011446,HP:0012638
HP:0002167,HP:0034434
HP:0002463,HP:0034434
HP:0030724,HP:0002011
HP:0033563,HP:0030057
HP:0001877,HP:0001871
HP:0011138,HP:0001574
HP:0011362,HP:0001595
HP:0001595,HP:0011138
HP:0011122,HP:0000951
HP:0011123,HP:0012649
HP:0011123,HP:0011122
HP:0000708,HP:0011446
HP:0002090,HP:0012649
HP:0002090,HP:0011947
HP:0002719,HP:0032101
HP:0002205,HP:0011947
HP:0002205,HP:0002719
HP:0002783,HP:0002205
HP:0008065,HP:0011355
HP:0011355,HP:0011121
HP:0032166,HP:0012719
HP:0025032,HP:0025031
HP:0012719,HP:0011024
HP:0012719,HP:0025032
HP:0011024,HP:0025031
HP:0000953,HP:0001000
HP:0003011,HP:0033127
HP:0031910,HP:0012638
HP:0006824,HP:0031910
HP:0010827,HP:0031910
HP:0001324,HP:0011804
HP:0000301,HP:0011805
HP:0000301,HP:0011799
HP:0030319,HP:0000301
HP:0011799,HP:0000271
HP:0011804,HP:0003011
HP:0011805,HP:0003011
HP:0004323,HP:0001507
HP:0001507,HP:0000118
HP:0004325,HP:0004323
HP:0001508,HP:0004325
HP:0008609,HP:0000370
HP:0000370,HP:0031703
HP:0000598,HP:0000118
HP:0031703,HP:0000598
HP:0000539,HP:0012373
HP:0012393,HP:0100326
HP:0000692,HP:0000164
HP:0000940,HP:0011314
HP:0000940,HP:0002813
HP:0011314,HP:0011844
HP:0001510,HP:0001507
HP:0033184,HP:0025204
HP:0033198,HP:0033184
HP:0025204,HP:0012823
HP:0012823,HP:0000001
HP:0001974,HP:0011893
HP:0410380,HP:0031393
HP:0410380,HP:0032182
HP:0410384,HP:0410380
HP:0410392,HP:0032184
HP:0410392,HP:0410380
HP:0031393,HP:0025540
HP:0032182,HP:0025540
HP:0032184,HP:0032182
HP:0045060,HP:0002813
HP:0045060,HP:0009815
HP:0011927,HP:0011297
HP:0009115,HP:0011842
HP:0005922,HP:0001155
HP:0009381,HP:0006265
HP:0009381,HP:0005922
HP:0009381,HP:0011927
HP:0005927,HP:0006496
HP:0005927,HP:0005922
HP:0009815,HP:0040064
HP:0009815,HP:0009115
HP:0006496,HP:0002817
HP:0006496,HP:0045060
HP:0004207,HP:0001167
HP:0006262,HP:0006265
HP:0006262,HP:0004207
HP:0006265,HP:0005927
HP:0006265,HP:0001167
HP:0002977,HP:0002011
HP:0100547,HP:0012443
HP:0007367,HP:0002011
HP:0007369,HP:0002977
HP:0007369,HP:0012444
HP:0007369,HP:0002060
HP:0002538,HP:0002060
HP:0002059,HP:0007369
HP:0002060,HP:0100547
HP:0012443,HP:0002011
HP:0012444,HP:0012443
HP:0012444,HP:0007367
HP:0032140,HP:0012475
HP:0012475,HP:0004313
HP:0012475,HP:0031404
HP:0031404,HP:0010978
HP:0004313,HP:0010701
HP:0410302,HP:0032140
HP:0034058,HP:0034057
HP:0034057,HP:0001197
HP:0001197,HP:0000118
HP:0100729,HP:0001999
HP:0040012,HP:0003220
HP:0003220,HP:0011017
HP:0001892,HP:0001871
HP:0031377,HP:0011017
HP:0031378,HP:0031409
HP:0031378,HP:0031377
HP:0031381,HP:0031378
HP:0010280,HP:0012649
HP:0010280,HP:0011830
HP:0031446,HP:0011830
HP:0011830,HP:0000163
HP:0002665,HP:0004377
HP:0004377,HP:0011793
HP:0004377,HP:0001871
HP:0012539,HP:0002665
HP:0025408,HP:0001743
HP:0001743,HP:0100763
HP:0001743,HP:0002012
HP:0032163,HP:0032162
HP:0032162,HP:0011122
HP:0032162,HP:0032158
HP:0032158,HP:0032101
HP:0009887,HP:0001595
HP:0011358,HP:0005599
HP:0005599,HP:0009887
HP:0001288,HP:0100022
HP:0410242,HP:0010701
HP:0040006,HP:0031797
HP:0031797,HP:0012823
HP:0011420,HP:0040006
HP:0000174,HP:0000163
HP:0008067,HP:0010647
HP:0010647,HP:0011121
HP:0000964,HP:0011123
